method,benchmark,successful_seeds,required_seeds,comp_res_hpwl_mean,comp_res_hpwl_std,rudy_peak_mean,rudy_peak_std,wall_seconds_mean,complete_required_seed
maskplace,adaptec1,1,1,1033348.0,0.0,0.39632655846204357,0.0,131410.22742605582,True
maskplace,adaptec2,1,1,15384527.0,0.0,0.8149695614862502,0.0,167752.49916457012,True
maskplace,adaptec3,1,1,11616823.0,0.0,0.7795194321028135,0.0,204180.39768114686,True
maskplace,adaptec4,1,1,9254462.0,0.0,0.4007282476980171,0.0,250278.24328237772,True
maskplace,bigblue1,1,1,405590.0,0.0,0.12440264310124101,0.0,126301.90142468363,True
maskplace,bigblue2,1,1,1743781.0,0.0,0.09332197443059267,0.0,235105.58201459423,True
maskplace,bigblue3,1,1,15609007.0,0.0,2.2433501655901695,0.0,279131.276815325,True
maskplace,bigblue4,1,1,11411054.0,0.0,0.4889014814715359,0.0,262823.76981541887,True
wiremask,adaptec1,1,1,745594.75,0.0,0.7664785558184699,0.0,23250.27311406657,True
wiremask,adaptec2,1,1,9286310.152278163,0.0,2.4153604049303063,0.0,20121.671597987413,True
wiremask,adaptec3,1,1,7015661.973581905,0.0,0.5032105952346018,0.0,16033.368449293077,True
wiremask,adaptec4,0,1,,,,,,False
wiremask,bigblue1,1,1,265947.5,0.0,0.209875544910336,0.0,13062.390784736723,True
wiremask,bigblue2,1,1,1127072.2925319998,0.0,0.08028001344034616,0.0,273201.610908594,True
wiremask,bigblue3,1,1,8206904.999853994,0.0,0.703837229158359,0.0,112970.89138828218,True
wiremask,bigblue4,1,1,8230448.505513055,0.0,0.7706659130821875,0.0,195171.21199369058,True
efficientplace,adaptec1,1,1,709660.609375,0.0,0.5779644501549761,0.0,26529.067980609834,True
efficientplace,adaptec2,1,1,4391804.3125,0.0,0.9934423572373674,0.0,15800.644043046981,True
efficientplace,adaptec3,1,1,5694159.699236041,0.0,0.6087806196184954,0.0,147121.70174648613,True
efficientplace,adaptec4,1,1,5708554.488304025,0.0,0.3283660203099371,0.0,161739.70510241762,True
efficientplace,bigblue1,0,1,,,,,,False
efficientplace,bigblue2,1,1,1099338.921875,0.0,0.06975401579880046,0.0,15694.904641889036,True
efficientplace,bigblue3,1,1,6387619.632808002,0.0,0.7250277465771193,0.0,51327.75683488324,True
efficientplace,bigblue4,1,1,8850964.992244989,0.0,0.4010969648336413,0.0,35823.32916055247,True
