method,benchmark,seed,controller_status,wrapper_status,legal,comp_res_hpwl,rudy_peak,wall_seconds,failure_reason
maskplace,adaptec1,1000,complete,complete,True,1033348.0,0.39632655846204357,131410.22742605582,legal_result
maskplace,adaptec2,1000,complete,complete,True,15384527.0,0.8149695614862502,167752.49916457012,legal_result
maskplace,adaptec3,1000,complete,complete,True,11616823.0,0.7795194321028135,204180.39768114686,legal_result
maskplace,adaptec4,1000,complete,complete,True,9254462.0,0.4007282476980171,250278.24328237772,legal_result
maskplace,bigblue1,1000,complete,complete,True,405590.0,0.12440264310124101,126301.90142468363,legal_result
maskplace,bigblue2,1000,complete,complete,True,1743781.0,0.09332197443059267,235105.58201459423,legal_result
maskplace,bigblue3,1000,complete,complete,True,15609007.0,2.2433501655901695,279131.276815325,legal_result
maskplace,bigblue4,1000,complete,complete,True,11411054.0,0.4889014814715359,262823.76981541887,legal_result
wiremask,adaptec1,1000,complete,complete,True,745594.75,0.7664785558184699,23250.27311406657,legal_result
wiremask,adaptec2,1000,complete,complete,True,9286310.152278163,2.4153604049303063,20121.671597987413,legal_result
wiremask,adaptec3,1000,complete,complete,True,7015661.973581905,0.5032105952346018,16033.368449293077,legal_result
wiremask,adaptec4,1000,technical_failed,failed,,,,2455.5171136818826,missing_or_incomplete_baseline_artifacts
wiremask,bigblue1,1000,complete,complete,True,265947.5,0.209875544910336,13062.390784736723,legal_result
wiremask,bigblue2,1000,complete,complete,True,1127072.2925319998,0.08028001344034616,273201.610908594,legal_result
wiremask,bigblue3,1000,complete,complete,True,8206904.999853994,0.703837229158359,112970.89138828218,legal_result
wiremask,bigblue4,1000,complete,complete,True,8230448.505513055,0.7706659130821875,195171.21199369058,legal_result
efficientplace,adaptec1,1000,complete,complete,True,709660.609375,0.5779644501549761,26529.067980609834,legal_result
efficientplace,adaptec2,1000,complete,complete,True,4391804.3125,0.9934423572373674,15800.644043046981,legal_result
efficientplace,adaptec3,1000,complete,complete,True,5694159.699236041,0.6087806196184954,147121.70174648613,legal_result
efficientplace,adaptec4,1000,complete,complete,True,5708554.488304025,0.3283660203099371,161739.70510241762,legal_result
efficientplace,bigblue1,1000,technical_failed,running,,,,,missing_or_incomplete_baseline_artifacts
efficientplace,bigblue2,1000,complete,complete,True,1099338.921875,0.06975401579880046,15694.904641889036,legal_result
efficientplace,bigblue3,1000,complete,complete,True,6387619.632808002,0.7250277465771193,51327.75683488324,legal_result
efficientplace,bigblue4,1000,complete,complete,True,8850964.992244989,0.4010969648336413,35823.32916055247,legal_result
