grid,benchmark,variant,successful_seeds,required_seeds,failed_seeds,missing_seeds,comp_res_hpwl_mean,comp_res_hpwl_std,rudy_peak_mean,rudy_peak_std,rudy_top5_mean_mean,rudy_top5_mean_std,wall_seconds_mean,complete
448,adaptec1,linkplace-c,5,5,0,0,572301.4843750007,2050.602573791903,0.6662489036136517,0.07565314496155735,0.08217682291741289,0.00046648342505181353,6348.495227098465,True
448,adaptec1,linkplace-m,5,5,0,0,577039.5709821429,4245.635994416892,0.6459912654749795,0.08498984078622887,0.08212254657035797,0.0005428192317402946,8316.419643259049,True
448,adaptec1,all-greedy,1,5,4,0,619526.7544642867,,0.786933366966136,,0.08584305863560526,,,False
448,adaptec2,linkplace-c,5,5,0,0,3202472.2267856733,226706.02918716325,0.732489150635147,0.19917052094540202,0.14394032935794593,0.006911886919434161,7334.913459777832,True
448,adaptec2,linkplace-m,5,5,0,0,2865871.8874999983,31595.10384054846,0.8773773384808227,0.07492128320885764,0.14118579055512265,0.0032554522276260368,8693.376397657394,True
448,adaptec2,all-greedy,0,5,5,0,,,,,,,,False
448,adaptec3,linkplace-c,5,5,0,0,5112853.109821439,71253.61345362481,0.5784483497658499,0.13783094107161747,0.08776311662056897,0.0012810997641304071,8464.476996326446,True
448,adaptec3,linkplace-m,5,5,0,0,5261372.864285713,21714.172159580114,0.5646502300211722,0.10519655471076311,0.08799567001338697,0.0012606247954284472,11094.220970916747,True
448,adaptec3,all-greedy,0,5,5,0,,,,,,,,False
448,adaptec4,linkplace-c,5,5,0,0,4373773.868749977,20207.259130666334,0.39472655231304055,0.014590082691083308,0.07595078406373337,0.0009482499254418188,13245.794917631149,True
448,adaptec4,linkplace-m,5,5,0,0,4553602.893749988,35101.653913793874,0.3857728251642766,0.005265245969629718,0.07921221418051405,0.002196073548542828,20430.001363420488,True
448,adaptec4,all-greedy,3,5,2,0,4694619.1413690355,59831.899783860325,0.4407832248176893,0.026998518834995995,0.08579839722863442,0.0024945965802607266,,False
448,bigblue1,linkplace-c,5,5,0,0,212644.1982142864,2886.48765383272,0.13788058228053832,0.011621964373747944,0.030716489975593796,0.0002958188054514997,8118.728845500946,True
448,bigblue1,linkplace-m,5,5,0,0,211937.08303571492,2283.006603423737,0.13772387836859729,0.007903303648270575,0.030378759704169832,0.00038130830719864897,8566.85354590416,True
448,bigblue1,all-greedy,5,5,0,0,217113.2808035722,1925.0587979970685,0.13580950084094237,0.004800095980981847,0.030748884294327945,0.00022622231057180348,,True
448,bigblue2,linkplace-c,5,5,0,0,803888.4178571405,7113.0360994379025,0.07192185509393183,0.006584979684076032,0.02148886626438043,0.0003927475676613793,13666.04932923317,True
