grid,benchmark,variant,seed,status,legal,comp_res_hpwl,rudy_peak,rudy_top5_mean,wall_seconds,episodes,best_epoch,stage,failure
448,superblue1,linkplace-m,999,complete,True,103756419.46428566,0.0002452502661106123,8.236879170701411e-06,7763.7153577804565,1000,301,,
448,superblue1,linkplace-m,1000,complete,True,103858956.25000007,0.00022516462754089363,8.248855740452765e-06,7784.964373826981,1000,892,,
448,superblue1,linkplace-m,1001,complete,True,103549683.0357142,0.00022719675750616325,8.228057400154515e-06,7703.571218967438,1000,270,,
448,superblue1,linkplace-m,1002,complete,True,103756419.46428576,0.00024525026611061426,8.236879170701469e-06,7801.335076093674,1000,460,,
448,superblue1,linkplace-m,1003,complete,True,103757719.46428551,0.0002292360362970327,8.236879170701511e-06,7792.827561855316,1000,754,,
448,superblue3,linkplace-m,999,complete,True,262827665.71428576,0.00041284840457434305,1.589474134352759e-05,7802.015287399292,1000,830,,
448,superblue3,linkplace-m,1000,complete,True,262195345.71428594,0.0006228573070597632,1.5904983329947273e-05,7728.141257047653,1000,255,,
448,superblue3,linkplace-m,1001,complete,True,260974487.14285782,0.0005572359172868596,1.5872879510033714e-05,7786.306574821472,1000,393,,
448,superblue3,linkplace-m,1002,complete,True,260109742.85714325,0.0003913807306951693,1.5827362154530854e-05,7772.2848155498505,1000,183,,
448,superblue3,linkplace-m,1003,complete,True,260241304.28571412,0.00041284840457434294,1.574107366894021e-05,7717.733300447464,1000,943,,
448,superblue4,linkplace-m,999,complete,True,154409841.25,0.00087071691063765,2.8470999672391538e-05,7756.909535169601,1000,830,,
448,superblue4,linkplace-m,1000,complete,True,157237357.5,0.0008962628575445719,2.8889095282618456e-05,7870.370359182358,1000,460,,
448,superblue4,linkplace-m,1001,complete,True,154776678.75,0.0008962628575445719,2.839432978371007e-05,7805.129283428192,1000,392,,
448,superblue4,linkplace-m,1002,complete,True,154762022.5,0.0005737238469503853,2.850537826553659e-05,7767.844525575638,1000,409,,
448,superblue4,linkplace-m,1003,complete,True,154326530.0,0.0008707169106376503,2.8379887909820342e-05,7809.662594795227,1000,249,,
448,superblue5,linkplace-m,999,complete,True,732669502.5892832,0.0006425261705428567,4.299275130980772e-05,7791.22879576683,1000,178,,
448,superblue5,linkplace-m,1000,complete,True,711102801.071428,0.00060224349646565,4.173442468420645e-05,7824.792150020599,1000,966,,
448,superblue5,linkplace-m,1001,complete,True,732410525.8035698,0.0006022867954441429,4.286028222817523e-05,7805.050470590591,1000,643,,
448,superblue5,linkplace-m,1002,complete,True,727298015.9821424,0.0006337351341147537,4.2739648129282216e-05,7827.678711414337,1000,459,,
448,superblue5,linkplace-m,1003,complete,True,725729352.2321428,0.0006020956145855532,4.263037208955764e-05,7954.389526128769,1000,225,,
448,superblue7,linkplace-m,999,complete,True,242213984.28571448,0.0008022978220522045,3.573075253354562e-05,7938.460389852524,1000,491,,
448,superblue7,linkplace-m,1000,complete,True,242742952.1428573,0.0006508941561378188,3.580329107186168e-05,7745.600007534027,1000,474,,
448,superblue7,linkplace-m,1001,complete,True,242853790.71428573,0.0008041987115113119,3.564435601695254e-05,7794.696888685226,1000,574,,
448,superblue7,linkplace-m,1002,complete,True,242453961.4285715,0.0006508941561378149,3.5708833070476546e-05,7778.928339004517,1000,991,,
448,superblue7,linkplace-m,1003,complete,True,243022401.42857137,0.0008080587834286956,3.5834988122588556e-05,7857.9485721588135,1000,976,,
448,superblue10,linkplace-m,999,complete,True,88909431.2500002,0.0002535481691352936,7.596751646336022e-06,7824.051051855087,1000,486,,
448,superblue10,linkplace-m,1000,complete,True,88613792.94642867,0.0002481835412189896,7.600785312244787e-06,7764.468559503555,1000,197,,
448,superblue10,linkplace-m,1001,complete,True,88957927.05357143,0.00025961620942026303,7.568103581810786e-06,7740.813387155533,1000,118,,
448,superblue10,linkplace-m,1002,complete,True,88720094.55357154,0.00025627918109480397,7.601034005746128e-06,7687.268160104752,1000,244,,
448,superblue10,linkplace-m,1003,complete,True,88459097.32142854,0.00023649019386384775,7.567067254588229e-06,7832.772411108017,1000,193,,
448,superblue16,linkplace-m,999,complete,True,207313892.23214275,0.0004307522498939842,3.6301806075998474e-05,7942.186898946762,1000,260,,
448,superblue16,linkplace-m,1000,complete,True,204307646.0714286,0.000359808612087963,3.590221364866811e-05,7875.550684213638,1000,506,,
448,superblue16,linkplace-m,1001,complete,True,201013706.6964286,0.000343593859199893,3.5207289876701815e-05,7795.282947778702,1000,131,,
448,superblue16,linkplace-m,1002,complete,True,205921878.928571,0.0003949702458720819,3.626347698936402e-05,7897.428876399994,1000,364,,
448,superblue16,linkplace-m,1003,complete,True,204570204.4642853,0.000368959873236629,3.5942018554419485e-05,7877.854817867279,1000,817,,
448,superblue18,linkplace-m,999,complete,True,84555464.73214298,0.00043082158316080324,2.2126932134215258e-05,7724.829299688339,1000,698,,
448,superblue18,linkplace-m,1000,complete,True,84317605.44642852,0.00043784691000817866,2.1981279121572445e-05,7775.249234199524,1000,475,,
448,superblue18,linkplace-m,1001,complete,True,82560788.57142869,0.00043728644234966227,2.1742256114892315e-05,7789.769195795059,1000,533,,
448,superblue18,linkplace-m,1002,complete,True,84132194.5535716,0.00038357565079884926,2.1776540181506696e-05,7757.645188808441,1000,163,,
448,superblue18,linkplace-m,1003,complete,True,84378076.25000006,0.0004308215831608029,2.206837901265685e-05,7735.573871612549,1000,416,,
