benchmark,completed_seeds,required_seeds,comp_res_hpwl_mean,comp_res_hpwl_std,rudy_peak_mean,rudy_peak_std,rudy_top5_mean_mean,rudy_top5_mean_std,best_seed,best_comp_res_hpwl,complete
adaptec1,5,5,572301.4843750007,2050.6025737919035,0.6662489036136517,0.07565314496155735,0.08217682291741289,0.00046648342505181353,1001,569346.2790178577,True
adaptec2,5,5,3202472.2267856733,226706.02918716325,0.732489150635147,0.19917052094540202,0.14394032935794593,0.006911886919434161,999,2898454.3303570757,True
adaptec3,5,5,5112853.109821439,71253.61345362481,0.5784483497658499,0.13783094107161747,0.08776311662056897,0.0012810997641304071,999,5050789.816964292,True
adaptec4,5,5,4373773.868749977,20207.259130666334,0.39472655231304055,0.014590082691083308,0.07595078406373337,0.0009482499254418188,1002,4352363.803571407,True
bigblue1,5,5,212644.1982142864,2886.48765383272,0.13788058228053834,0.011621964373747944,0.030716489975593796,0.0002958188054514997,1000,207866.8169642865,True
bigblue3,5,5,3124574.8625000054,64241.251488322276,0.8183366989814465,0.044907162619828904,0.07463621307096498,0.0021663571535637193,999,3051695.562499987,True
bigblue2,5,5,803888.4178571405,7113.0360994379025,0.07192185509393183,0.006584979684076032,0.02148886626438043,0.0003927475676613793,1003,795827.1785714274,True
bigblue4,5,5,5334680.384821542,53542.17675696653,0.4571170762072188,0.12095332478363253,0.07940191796256486,0.0005315235469006625,999,5273350.736607229,True
ariane,5,5,722824.5095199022,10961.52290368573,98.89387879916401,12.397378811405579,36.0242035509516,4.320212819443868,1001,709878.9900027014,True
superblue1,5,5,112906727.39285707,13924558.186292041,0.00023175576214230848,1.3720661711726653e-05,8.841525150033894e-06,8.385080034062212e-07,1003,106484813.57142846,True
superblue3,5,5,255145513.4285715,830911.9924649261,0.0005516711005071398,9.560468824525238e-05,1.55328301368548e-05,1.345063160217399e-07,1002,253660785.7142858,True
superblue4,5,5,157542436.25,90065.09366494324,0.0006807848258731548,0.00016891799736774667,2.9004825101462064e-05,2.234718018889852e-08,999,157438353.75,True
superblue5,5,5,722336289.1428572,2414279.009810413,0.0006033141285365454,7.552072650889213e-06,4.2453739913620155e-05,2.4228306724853416e-07,1003,719069431.5178561,True
superblue7,5,5,240327016.71428558,1611169.3487823643,0.0007802086254403669,6.621403527087201e-05,3.517243392051394e-05,1.975698759432944e-07,1002,239081137.85714245,True
superblue10,5,5,88703726.39285721,119434.99815719643,0.0002576606722747556,9.462750246067918e-06,7.578878280948741e-06,9.621052895979511e-09,1000,88515878.48214297,True
superblue16,5,5,211307340.55357137,13572951.879818039,0.0003265528800157479,2.635586686976043e-05,3.7030505131174976e-05,1.9388354040079626e-06,1001,201744838.6607143,True
superblue18,5,5,82429362.8214286,840513.6692446385,0.00035422050627400046,6.004560183446135e-05,2.156495291551396e-05,1.5691528273412225e-07,1000,81173911.5178571,True
